C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/1/23,かじきとじゃがいもの揚げ煮,水,1〜1.5,0,0,0,0
2023/1/23,タルト,りんごのタルト,35,105,1.1,4.2,19
2023/1/24,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/1/24,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/24,さけの塩こうじ焼き,さけ,60,74,13.4,2.5,40
2023/1/24,さけの塩こうじ焼き,塩こうじ,4.8,8,0.1,0,245
2023/1/24,浅漬け,キャベツ,45,8,0.5,0.1,2
2023/1/24,浅漬け,きゅうり,5,1,0,0,0
2023/1/24,浅漬け,塩,0.37,0,0,0,144
2023/1/24,浅漬け,白ごま,1,6,0.2,0.5,0
2023/1/24,みそ汁,人参,5,1,0,0,2
2023/1/24,みそ汁,じゃがいも,30,16,0.5,0,0
2023/1/24,みそ汁,冷凍油揚げ,7,29,1.6,2.4,0
2023/1/24,みそ汁,小松菜,15,2,0.2,0,2
2023/1/24,みそ汁,かつお節,1.5,0,0,0,0
2023/1/24,みそ汁,白みそ,9,16,1.1,0.5,441
2023/1/24,みそ汁,水,120〜140,0,0,0,0
2023/1/25,麦ごはん,米,70,239,4.3,0.6,1
2023/1/25,麦ごはん,麦,10,33,0.7,0.2,0
2023/1/25,麦ごはん,油,0.3,3,0,0.3,0
2023/1/25,麦ごはん,酒,1,1,0,0,0
2023/1/25,麦ごはん,水,,0,0,0,0
2023/1/25,発酵乳,プルーン発酵乳,213,160,6.4,2.8,192
2023/1/25,ホイコーロー,豚肉,50,91,10,5.9,25
2023/1/25,ホイコーロー,キャベツ,60,11,0.7,0.1,3
2023/1/25,ホイコーロー,長ねぎ,10,2,0.1,0,0
2023/1/25,ホイコーロー,人参,13,4,0.1,0,4
2023/1/25,ホイコーロー,にんにく,0.5,1,0,0,0
2023/1/25,ホイコーロー,しょうが,0.5,0,0,0,0
2023/1/25,ホイコーロー,ごま油,1.2,11,0,1.2,0
2023/1/25,ホイコーロー,豆板醤,0.3,0,0,0,21
2023/1/25,ホイコーロー,酒,1.5,2,0,0,0
2023/1/25,ホイコーロー,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2023/1/25,ホイコーロー,さとう,0.5,2,0,0,0
2023/1/25,ホイコーロー,しょうゆ,3,2,0.2,0,171
2023/1/25,ホイコーロー,こしょう,0.01,0,0,0,0
2023/1/25,ホイコーロー,甜面醤,6,15,0.5,0.5,174
2023/1/25,ホイコーロー,片栗粉,1,3,0,0,0
2023/1/25,ホイコーロー,水,,0,0,0,0
2023/1/25,いそナムル,もやし,45,7,0.7,0,1
2023/1/25,いそナムル,小松菜,20,3,0.3,0,3
2023/1/25,いそナムル,ごま油,0.4,4,0,0.4,0
2023/1/25,いそナムル,塩,0.37,0,0,0,144
2023/1/25,いそナムル,のり,0.5,1,0.2,0,3
2023/1/26,揚げパン,コッペパン,50,208,7,3.8,351
2023/1/26,揚げパン,油,35,53,0,6,0
2023/1/26,揚げパン,さとう,8,31,0,0,0
2023/1/26,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/26,炒めビーフン,ビーフン,30,108,2.1,0.5,1
2023/1/26,炒めビーフン,豚肉,30,55,6,3.5,15
2023/1/26,炒めビーフン,人参,10,3,0.1,0,3
2023/1/26,炒めビーフン,干し椎茸,0.8,2,0.2,0,0
2023/1/26,炒めビーフン,玉ねぎ,20,6,0.2,0,0
2023/1/26,炒めビーフン,もやし,25,4,0.4,0,0
2023/1/26,炒めビーフン,キャベツ,25,4,0.3,0,1
2023/1/26,炒めビーフン,小松菜,10,1,0.2,0,2
2023/1/26,炒めビーフン,油,1.2,11,0,1.2,0
2023/1/26,炒めビーフン,塩,0.9,0,0,0,351
2023/1/26,炒めビーフン,こしょう,0.04,0,0,0,0
2023/1/26,炒めビーフン,しょうゆ,4,3,0.3,0,228
2023/1/26,ピリカラきゅうり,きゅうり,30,4,0.3,0,0
2023/1/26,ピリカラきゅうり,しょうが,0.5,0,0,0,0
2023/1/26,ピリカラきゅうり,しょうゆ,1.8,1,0.1,0,103
2023/1/26,ピリカラきゅうり,酢,1.8,1,0,0,0
2023/1/26,ピリカラきゅうり,ごま油,0.18,2,0,0.2,0
2023/1/26,ピリカラきゅうり,一味とうがらし,0.01,0,0,0,0
2023/1/27,こめっこカレー,米,80,274,4.9,0.7,1
2023/1/27,こめっこカレー,油,0.3,3,0,0.3,0
2023/1/27,こめっこカレー,酒,1,1,0,0,0
2023/1/27,こめっこカレー,水,,0,0,0,0
2023/1/27,こめっこカレー,豚肉,40,73,8,4.7,20
2023/1/27,こめっこカレー,人参,15,4,0.1,0,5
2023/1/27,こめっこカレー,じゃがいも,40,21,0.6,0,0
2023/1/27,こめっこカレー,玉ねぎ,50,16,0.5,0,1
2023/1/27,こめっこカレー,にんにく,0.1,0,0,0,0
2023/1/27,こめっこカレー,しょうが,0.2,0,0,0,0
2023/1/27,こめっこカレー,油,3,26,0,3,0
2023/1/27,こめっこカレー,カレー粉,0.9,3,0.1,0.1,0
2023/1/27,こめっこカレー,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2023/1/27,こめっこカレー,塩,0.8,0,0,0,312
2023/1/27,こめっこカレー,トマトケチャップ,2,2,0,0,24
2023/1/27,こめっこカレー,ウスターソース,2.5,3,0,0,83
2023/1/27,こめっこカレー,しょうゆ,1.6,1,0.1,0,91
2023/1/27,こめっこカレー,ベイリーフ,0.01,0,0,0,0
2023/1/27,こめっこカレー,水,70〜80,0,0,0,0
2023/1/27,こめっこカレー,米粉,6,21,0.4,0,0
2023/1/27,こめっこカレー,水,,0,0,0,0
2023/1/27,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/27,福神漬けあえ,キャベツ,50,9,0.6,0.1,2
2023/1/27,福神漬けあえ,人参,5,1,0,0,2
2023/1/27,福神漬けあえ,きゅうり,5,1,0,0,0
2023/1/27,福神漬けあえ,福神漬,10,6,0.1,0,197
2023/1/27,福神漬けあえ,しょうゆ,0.3,0,0,0,17
2023/1/27,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31
2023/1/30,中華おこわ,米,30,103,1.8,0.3,0
2023/1/30,中華おこわ,麦,5,17,0.4,0.1,0
2023/1/30,中華おこわ,もち米,35,120,2.2,0.4,0
2023/1/30,中華おこわ,酒,0.8,1,0,0,0
2023/1/30,中華おこわ,水,,0,0,0,0
2023/1/30,中華おこわ,しょうが,0.5,0,0,0,0
2023/1/30,中華おこわ,鶏肉,20,32,3.8,2,10
2023/1/30,中華おこわ,人参,10,3,0.1,0,3
2023/1/30,中華おこわ,干し椎茸,0.5,1,0.1,0,0
2023/1/30,中華おこわ,ごま油,1.3,12,0,1.3,0
2023/1/30,中華おこわ,さとう,0.9,4,0,0,0
2023/1/30,中華おこわ,塩,0.35,0,0,0,137
2023/1/30,中華おこわ,しょうゆ,3.5,3,0.3,0,200
2023/1/30,中華おこわ,酒,1,1,0,0,0
2023/1/30,中華おこわ,グリンピース,3,2,0.2,0,0
2023/1/30,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/30,生揚げの炒め煮,冷凍生揚げ,55,89,5.7,5.8,37
2023/1/30,生揚げの炒め煮,豚肉,30,55,6,3.5,15
2023/1/30,生揚げの炒め煮,人参,10,3,0.1,0,3
2023/1/30,生揚げの炒め煮,ほうれん草,20,4,0.6,0.1,23
2023/1/30,生揚げの炒め煮,しょうが,0.6,0,0,0,0
2023/1/30,生揚げの炒め煮,にんにく,0.04,0,0,0,0
2023/1/30,生揚げの炒め煮,ごま油,0.6,5,0,0.6,0
2023/1/30,生揚げの炒め煮,赤みそ,3.5,6,0.5,0.2,179
2023/1/30,生揚げの炒め煮,しょうゆ,3.5,3,0.3,0,200
2023/1/30,生揚げの炒め煮,さとう,1,4,0,0,0
2023/1/30,生揚げの炒め煮,酒,1,1,0,0,0
2023/1/30,生揚げの炒め煮,一味とうがらし,0.01,0,0,0,0
2023/1/30,生揚げの炒め煮,水,12,0,0,0,0
2023/1/30,生揚げの炒め煮,ごま油,0.6,5,0,0.6,0
2023/1/30,おひたし,白菜,70,9,0.5,0.1,4
2023/1/30,おひたし,しょうゆ,2.3,2,0.2,0,131
2023/1/31,ツナそぼろごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/1/31,ツナそぼろごはん,ツナ,55,146,9.7,11.9,187
2023/1/31,ツナそぼろごはん,凍り豆腐,6,30,3,2,26
2023/1/31,ツナそぼろごはん,人参,10,3,0.1,0,3
2023/1/31,ツナそぼろごはん,しょうが,0.7,0,0,0,0
2023/1/31,ツナそぼろごはん,しょうゆ,3.9,3,0.3,0,222
2023/1/31,ツナそぼろごはん,さとう,2.6,10,0,0,0
2023/1/31,ツナそぼろごはん,酒,1.5,2,0,0,0
2023/1/31,ツナそぼろごはん,みりん,0.8,2,0,0,0
2023/1/31,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/31,せんべい汁,せんべい,10,36,1.1,0.2,97
2023/1/31,せんべい汁,鶏肉,15,24,2.9,1.5,8
2023/1/31,せんべい汁,冷凍油揚げ,5,21,1.2,1.7,0
2023/1/31,せんべい汁,人参,10,3,0.1,0,3
2023/1/31,せんべい汁,大根,25,3,0.1,0,4
2023/1/31,せんべい汁,えのき,10,3,0.3,0,0
2023/1/31,せんべい汁,長ねぎ,5,1,0,0,0
2023/1/31,せんべい汁,小松菜,15,2,0.2,0,2
2023/1/31,せんべい汁,かつお節,1.5,0,0,0,0
2023/1/31,せんべい汁,塩,0.5,0,0,0,195
2023/1/31,せんべい汁,しょうゆ,2.5,2,0.2,0,143
2023/1/31,せんべい汁,みりん,1,2,0,0,0
2023/1/31,せんべい汁,水,120〜130,0,0,0,0
2023/2/1,キムチチャーハン,米,62,212,3.8,0.6,1
2023/2/1,キムチチャーハン,麦,8,27,0.6,0.2,0
2023/2/1,キムチチャーハン,酒,0.8,1,0,0,0
2023/2/1,キムチチャーハン,水,,0,0,0,0
2023/2/1,キムチチャーハン,豚肉,15,27,3,1.8,7
2023/2/1,キムチチャーハン,人参,5,1,0,0,2
2023/2/1,キムチチャーハン,長ねぎ,10,2,0.1,0,0
2023/2/1,キムチチャーハン,しょうが,0.3,0,0,0,0
2023/2/1,キムチチャーハン,にんにく,0.02,0,0,0,0
2023/2/1,キムチチャーハン,ごま油,1.5,13,0,1.5,0
2023/2/1,キムチチャーハン,白菜キムチ,10,4,0.2,0,232
2023/2/1,キムチチャーハン,濃縮スープ（ポーク）,6,3,0.2,0.2,5
2023/2/1,キムチチャーハン,塩,0.12,0,0,0,47
2023/2/1,キムチチャーハン,こしょう,0.03,0,0,0,0
2023/2/1,キムチチャーハン,しょうゆ,1.6,1,0.1,0,91
2023/2/1,キムチチャーハン,みりん,2,5,0,0,0
2023/2/1,牛乳,牛乳,206,126,6.8,7.8,84
2023/2/1,揚げギョウザ,ギョウザ,51,101,2.9,4.8,128
2023/2/1,揚げギョウザ,油,35,11,0,1.2,0
2023/2/1,わかめサラダ,わかめ,1,2,0.2,0,36
2023/2/1,わかめサラダ,キャベツ,45,8,0.5,0.1,2
2023/2/1,わかめサラダ,人参,5,1,0,0,2
2023/2/1,わかめサラダ,しょうゆ,3,2,0.2,0,171
2023/2/1,わかめサラダ,サラダ油,2,18,0,2,0
2023/2/1,ゼリー,りんごゼリー（鉄）,50,50,0.1,0.1,22
2023/2/2,チーズパン,チーズパンB,50,250,9.2,6.6,422
2023/2/2,牛乳,牛乳,206,126,6.8,7.8,84
2023/2/2,はやし煮,豚肉,40,73,8,4.7,20
2023/2/2,はやし煮,人参,10,3,0.1,0,3
2023/2/2,はやし煮,玉ねぎ,40,12,0.4,0,1
2023/2/2,はやし煮,じゃがいも,70,37,1.1,0.1,1
2023/2/2,はやし煮,油,1,9,0,1,0
2023/2/2,はやし煮,グリンピース,3,2,0.2,0,0
2023/2/2,はやし煮,油,2,18,0,2,0
2023/2/2,はやし煮,小麦粉,3,10,0.2,0,0
2023/2/2,はやし煮,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2023/2/2,はやし煮,トマトケチャップ,12,13,0.2,0,144
2023/2/2,はやし煮,中濃ソース,3.5,5,0,0,81
2023/2/2,はやし煮,さとう,0.5,2,0,0,0
2023/2/2,はやし煮,塩,0.75,0,0,0,293
2023/2/2,はやし煮,こしょう,0.03,0,0,0,0
2023/2/2,はやし煮,ナツメグ,0.01,0,0,0,0
2023/2/2,はやし煮,赤ワイン,1,1,0,0,0
2023/2/2,はやし煮,ベイリーフ,0.01,0,0,0,0
2023/2/2,はやし煮,水,40〜60,0,0,0,0
2023/2/2,もやしのサラダ,もやし,35,5,0.6,0,1
2023/2/2,もやしのサラダ,きゅうり,7,1,0.1,0,0
2023/2/2,もやしのサラダ,ホールコーン,10,8,0.2,0.1,21
2023/2/2,もやしのサラダ,しょうゆ,2.4,2,0.2,0,137
2023/2/2,もやしのサラダ,酢,1.6,1,0,0,0
2023/2/2,もやしのサラダ,さとう,0.2,1,0,0,0
2023/2/2,もやしのサラダ,白ごま,1,6,0.2,0.5,0
2023/2/3,こぎつねずし,米,65,222,4,0.6,1
2023/2/3,こぎつねずし,麦,5,17,0.4,0.1,0
2023/2/3,こぎつねずし,酒,0.8,1,0,0,0
2023/2/3,こぎつねずし,水,,0,0,0,0
2023/2/3,こぎつねずし,さとう,1.8,7,0,0,0
2023/2/3,こぎつねずし,塩,0.7,0,0,0,273
2023/2/3,こぎつねずし,酢,6,4,0,0,1
2023/2/3,こぎつねずし,人参,7,2,0.1,0,2
2023/2/3,こぎつねずし,冷凍油揚げ,15,62,3.5,5.2,1
2023/2/3,こぎつねずし,さとう,3,12,0,0,0
2023/2/3,こぎつねずし,しょうゆ,3.5,3,0.3,0,200
2023/2/3,こぎつねずし,かつお節,1,0,0,0,0
2023/2/3,こぎつねずし,水,20,0,0,0,0
2023/2/3,こぎつねずし,白ごま,1.7,10,0.3,0.9,0
2023/2/3,牛乳,牛乳,206,126,6.8,7.8,84
2023/2/3,いわしのこはく揚げ,いわし,40,62,7.7,3.7,32
2023/2/3,いわしのこはく揚げ,しょうゆ,1.8,1,0.1,0,103
2023/2/3,いわしのこはく揚げ,赤みそ,1.2,2,0.2,0.1,61
2023/2/3,いわしのこはく揚げ,しょうが,0.8,0,0,0,0
2023/2/3,いわしのこはく揚げ,酒,1,1,0,0,0
2023/2/3,いわしのこはく揚げ,片栗粉,14,47,0,0,0
2023/2/3,いわしのこはく揚げ,油,35,25,0,2.8,0
2023/2/3,からしあえ,キャベツ,30,5,0.3,0.1,1
2023/2/3,からしあえ,もやし,20,3,0.3,0,0
2023/2/3,からしあえ,小松菜,15,2,0.2,0,2
2023/2/3,からしあえ,しょうゆ,2.6,2,0.2,0,148
2023/2/3,からしあえ,からし粉,0.1,0,0,0,0
2023/2/3,福豆,福豆,5,21,1.9,1.1,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
