B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/4/12,カレーライス,米,70,239,4.3,0.6,1
2023/4/12,カレーライス,麦,10,33,0.7,0.2,0
2023/4/12,カレーライス,油,0.3,3,0,0.3,0
2023/4/12,カレーライス,酒,1,1,0,0,0
2023/4/12,カレーライス,水,,0,0,0,0
2023/4/12,カレーライス,豚肉,40,73,8,4.7,20
2023/4/12,カレーライス,人参,15,4,0.1,0,5
2023/4/12,カレーライス,じゃがいも,40,21,0.6,0,0
2023/4/12,カレーライス,玉ねぎ,50,16,0.5,0,1
2023/4/12,カレーライス,にんにく,0.1,0,0,0,0
2023/4/12,カレーライス,しょうが,0.2,0,0,0,0
2023/4/12,カレーライス,油,1,9,0,1,0
2023/4/12,カレーライス,油,6,53,0,6,0
2023/4/12,カレーライス,小麦粉,6,21,0.5,0.1,0
2023/4/12,カレーライス,カレー粉,1,3,0.1,0.1,0
2023/4/12,カレーライス,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2023/4/12,カレーライス,塩,0.75,0,0,0,293
2023/4/12,カレーライス,トマトケチャップ,2,2,0,0,24
2023/4/12,カレーライス,ウスターソース,2.5,3,0,0,83
2023/4/12,カレーライス,しょうゆ,1.6,1,0.1,0,91
2023/4/12,カレーライス,ローリエ,0.01,0,0,0,0
2023/4/12,カレーライス,水,70〜80,0,0,0,0
2023/4/12,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/12,わかめサラダ,わかめ,1,2,0.2,0,36
2023/4/12,わかめサラダ,キャベツ,45,8,0.5,0.1,2
2023/4/12,わかめサラダ,人参,5,1,0,0,2
2023/4/12,わかめサラダ,しょうゆ,3,2,0.2,0,171
2023/4/12,わかめサラダ,サラダ油,2,18,0,2,0
2023/4/13,麦ごはん,米,70,239,4.3,0.6,1
2023/4/13,麦ごはん,麦,10,33,0.7,0.2,0
2023/4/13,麦ごはん,油,0.3,3,0,0.3,0
2023/4/13,麦ごはん,酒,1,1,0,0,0
2023/4/13,麦ごはん,水,,0,0,0,0
2023/4/13,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/13,豚肉のみそ炒め,豚肉,60,109,12,7,29
2023/4/13,豚肉のみそ炒め,玉ねぎ,40,12,0.4,0,1
2023/4/13,豚肉のみそ炒め,しょうが,0.5,0,0,0,0
2023/4/13,豚肉のみそ炒め,にんにく,0.1,0,0,0,0
2023/4/13,豚肉のみそ炒め,油,1,9,0,1,0
2023/4/13,豚肉のみそ炒め,トック,17,39,0.7,0.1,20
2023/4/13,豚肉のみそ炒め,酒,1.2,1,0,0,0
2023/4/13,豚肉のみそ炒め,さとう,3,12,0,0,0
2023/4/13,豚肉のみそ炒め,赤みそ,4.2,7,0.6,0.2,214
2023/4/13,豚肉のみそ炒め,しょうゆ,1.8,1,0.1,0,103
2023/4/13,豚肉のみそ炒め,豆板醤,0.12,0,0,0,8
2023/4/13,豚肉のみそ炒め,片栗粉,0.4,1,0,0,0
2023/4/13,豚肉のみそ炒め,水,1.2,0,0,0,0
2023/4/13,おひたし,キャベツ,50,9,0.6,0.1,2
2023/4/13,おひたし,人参,5,1,0,0,2
2023/4/13,おひたし,小松菜,15,2,0.2,0,2
2023/4/13,おひたし,しょうゆ,3,2,0.2,0,171
2023/4/14,ミートソーススパゲッティ,スパゲッティ,60,208,7.7,1.1,1
2023/4/14,ミートソーススパゲッティ,塩,1.2,0,0,0,0
2023/4/14,ミートソーススパゲッティ,サラダ油,3,12,0,1.3,0
2023/4/14,ミートソーススパゲッティ,豚ひき肉,45,82,9,5.3,22
2023/4/14,ミートソーススパゲッティ,大豆ミート,4.5,16,2.1,0.1,0
2023/4/14,ミートソーススパゲッティ,人参,10,3,0.1,0,3
2023/4/14,ミートソーススパゲッティ,玉ねぎ,50,16,0.5,0,1
2023/4/14,ミートソーススパゲッティ,油,1,9,0,1,0
2023/4/14,ミートソーススパゲッティ,グリンピース,3,2,0.2,0,0
2023/4/14,ミートソーススパゲッティ,トマトケチャップ,14,15,0.2,0,168
2023/4/14,ミートソーススパゲッティ,トマトピューレ,14,6,0.3,0,3
2023/4/14,ミートソーススパゲッティ,中濃ソース,8,11,0.1,0,184
2023/4/14,ミートソーススパゲッティ,さとう,1,4,0,0,0
2023/4/14,ミートソーススパゲッティ,塩,0.4,0,0,0,156
2023/4/14,ミートソーススパゲッティ,こしょう,0.03,0,0,0,0
2023/4/14,ミートソーススパゲッティ,ナツメグ,0.01,0,0,0,0
2023/4/14,ミートソーススパゲッティ,ローリエ,0.02,0,0,0,0
2023/4/14,ミートソーススパゲッティ,水,50〜60,0,0,0,0
2023/4/14,ミートソーススパゲッティ,粉チーズ,3,13,1.3,0.9,45
2023/4/14,ミートソーススパゲッティ,米粉,6,21,0.4,0,0
2023/4/14,ミートソーススパゲッティ,水,,0,0,0,0
2023/4/14,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/14,もやしのサラダ,もやし,35,5,0.6,0,1
2023/4/14,もやしのサラダ,きゅうり,10,1,0.1,0,0
2023/4/14,もやしのサラダ,ホールコーン,10,8,0.2,0.1,21
2023/4/14,もやしのサラダ,しょうゆ,2.4,2,0.2,0,137
2023/4/14,もやしのサラダ,酢,1.6,1,0,0,0
2023/4/14,もやしのサラダ,さとう,0.2,1,0,0,0
2023/4/14,もやしのサラダ,白ごま,1,6,0.2,0.5,0
2023/4/17,たきこみごはん,米,62,212,3.8,0.6,1
2023/4/17,たきこみごはん,麦,8,27,0.6,0.2,0
2023/4/17,たきこみごはん,酒,0.8,1,0,0,0
2023/4/17,たきこみごはん,水,,0,0,0,0
2023/4/17,たきこみごはん,豚肉,10,18,2,1.2,5
2023/4/17,たきこみごはん,人参,10,3,0.1,0,3
2023/4/17,たきこみごはん,干し椎茸,0.6,2,0.1,0,0
2023/4/17,たきこみごはん,さとう,0.7,3,0,0,0
2023/4/17,たきこみごはん,しょうゆ,5,4,0.4,0,285
2023/4/17,たきこみごはん,塩,0.2,0,0,0,78
2023/4/17,たきこみごはん,水,,0,0,0,0
2023/4/17,たきこみごはん,グリンピース,3,2,0.2,0,0
2023/4/17,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/17,とり肉のから揚げ,鶏肉,60,97,11.4,6.1,31
2023/4/17,とり肉のから揚げ,塩,0.45,0,0,0,176
2023/4/17,とり肉のから揚げ,こしょう,0.03,0,0,0,0
2023/4/17,とり肉のから揚げ,酒,0.5,1,0,0,0
2023/4/17,とり肉のから揚げ,片栗粉,8,27,0,0,0
2023/4/17,とり肉のから揚げ,油,35,21,0,2.4,0
2023/4/17,ごまあえ,キャベツ,35,6,0.4,0.1,1
2023/4/17,ごまあえ,もやし,20,3,0.3,0,0
2023/4/17,ごまあえ,小松菜,10,1,0.2,0,2
2023/4/17,ごまあえ,白ごま,2.8,18,0.5,1.7,0
2023/4/17,ごまあえ,さとう,2.2,9,0,0,0
2023/4/17,ごまあえ,しょうゆ,2.8,2,0.2,0,160
2023/4/18,ツナそぼろごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/4/18,ツナそぼろごはん,ツナ,60,159,10.6,13,204
2023/4/18,ツナそぼろごはん,凍り豆腐,4,20,2,1.4,18
2023/4/18,ツナそぼろごはん,人参,10,3,0.1,0,3
2023/4/18,ツナそぼろごはん,しょうが,0.7,0,0,0,0
2023/4/18,ツナそぼろごはん,しょうゆ,3.9,3,0.3,0,222
2023/4/18,ツナそぼろごはん,さとう,2.6,10,0,0,0
2023/4/18,ツナそぼろごはん,酒,1.5,2,0,0,0
2023/4/18,ツナそぼろごはん,みりん,0.8,2,0,0,0
2023/4/18,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/18,だんご汁,豚肉,20,36,4,2.3,10
2023/4/18,だんご汁,人参,10,3,0.1,0,3
2023/4/18,だんご汁,白菜,30,4,0.2,0,2
2023/4/18,だんご汁,冷凍油揚げ,5,21,1.2,1.7,0
2023/4/18,だんご汁,干し椎茸,0.5,1,0.1,0,0
2023/4/18,だんご汁,こんにゃく,10,1,0,0,1
2023/4/18,だんご汁,小松菜,20,3,0.3,0,3
2023/4/18,だんご汁,白玉もち,20,39,0.7,0.1,1
2023/4/18,だんご汁,かつお節,1.5,0,0,0,0
2023/4/18,だんご汁,塩,0.7,0,0,0,273
2023/4/18,だんご汁,しょうゆ,2,2,0.2,0,114
2023/4/18,だんご汁,水,120,0,0,0,0
2023/4/19,ソース焼きそば,蒸し麺,45,167,5.1,1.5,147
2023/4/19,ソース焼きそば,豚肉,30,55,6,3.5,15
2023/4/19,ソース焼きそば,人参,10,3,0.1,0,3
2023/4/19,ソース焼きそば,玉ねぎ,30,9,0.3,0,1
2023/4/19,ソース焼きそば,もやし,20,3,0.3,0,0
2023/4/19,ソース焼きそば,キャベツ,50,9,0.6,0.1,2
2023/4/19,ソース焼きそば,油,2,18,0,2,0
2023/4/19,ソース焼きそば,塩,0.6,0,0,0,234
2023/4/19,ソース焼きそば,こしょう,0.04,0,0,0,0
2023/4/19,ソース焼きそば,ウスターソース,3.5,4,0,0,116
2023/4/19,ソース焼きそば,中濃ソース,3.5,5,0,0,81
2023/4/19,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/19,揚げ大豆,大豆（ボイル）,35,57,5.2,3.4,0
2023/4/19,揚げ大豆,片栗粉,3.5,12,0,0,0
2023/4/19,揚げ大豆,油,35,25,0,2.8,0
2023/4/19,揚げ大豆,塩,0.15,0,0,0,59
2023/4/19,ミックスフルーツ,みかん缶,30,19,0.2,0,1
2023/4/19,ミックスフルーツ,りんご缶,30,24,0.1,0,1
2023/4/19,ミックスフルーツ,パイン缶,30,23,0.1,0,0
2023/4/19,ミックスフルーツ,かんづめの汁,30,19,0.1,0,1
2023/4/20,ぶどうパン,ぶどうパン,50,250,7.3,3.9,353
2023/4/20,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/20,コーンチャウダー,豚肉,15,27,3,1.8,7
2023/4/20,コーンチャウダー,人参,10,3,0.1,0,3
2023/4/20,コーンチャウダー,じゃがいも,55,29,0.9,0,0
2023/4/20,コーンチャウダー,玉ねぎ,30,9,0.3,0,1
2023/4/20,コーンチャウダー,油,0.7,6,0,0.7,0
2023/4/20,コーンチャウダー,クリームコーン,50,41,0.9,0.3,130
2023/4/20,コーンチャウダー,油,1.3,11,0,1.3,0
2023/4/20,コーンチャウダー,バター,1.2,8,0,1,9
2023/4/20,コーンチャウダー,小麦粉,3,10,0.2,0,0
2023/4/20,コーンチャウダー,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/4/20,コーンチャウダー,塩,0.75,0,0,0,293
2023/4/20,コーンチャウダー,こしょう,0.04,0,0,0,0
2023/4/20,コーンチャウダー,脱脂粉乳,12,42,4.1,0.1,68
2023/4/20,コーンチャウダー,ローリエ,0.01,0,0,0,0
2023/4/20,コーンチャウダー,水,80〜100,0,0,0,0
2023/4/20,コールスローサラダ,キャベツ,50,9,0.6,0.1,2
2023/4/20,コールスローサラダ,人参,5,1,0,0,2
2023/4/20,コールスローサラダ,塩,0.27,0,0,0,105
2023/4/20,コールスローサラダ,酢,1.4,1,0,0,0
2023/4/20,コールスローサラダ,こしょう,0.03,0,0,0,0
2023/4/20,コールスローサラダ,サラダ油,1.8,16,0,1.8,0
2023/4/21,麦ごはん,米,70,239,4.3,0.6,1
2023/4/21,麦ごはん,麦,10,33,0.7,0.2,0
2023/4/21,麦ごはん,油,0.3,3,0,0.3,0
2023/4/21,麦ごはん,酒,1,1,0,0,0
2023/4/21,麦ごはん,水,,0,0,0,0
2023/4/21,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/21,生揚げと野菜のそぼろ煮,冷凍生揚げ,50,78,5.2,5.4,17
2023/4/21,生揚げと野菜のそぼろ煮,さとう,2,8,0,0,0
2023/4/21,生揚げと野菜のそぼろ煮,しょうゆ,3,2,0.2,0,171
2023/4/21,生揚げと野菜のそぼろ煮,豚ひき肉,25,46,5,2.9,12
2023/4/21,生揚げと野菜のそぼろ煮,人参,15,4,0.1,0,5
2023/4/21,生揚げと野菜のそぼろ煮,玉ねぎ,35,11,0.3,0,1
2023/4/21,生揚げと野菜のそぼろ煮,じゃがいも,60,32,1,0.1,1
2023/4/21,生揚げと野菜のそぼろ煮,油,1.2,11,0,1.2,0
2023/4/21,生揚げと野菜のそぼろ煮,グリンピース,3,2,0.2,0,0
2023/4/21,生揚げと野菜のそぼろ煮,さとう,3.5,14,0,0,0
2023/4/21,生揚げと野菜のそぼろ煮,しょうゆ,5,4,0.4,0,285
2023/4/21,中華風おひたし,キャベツ,45,8,0.5,0.1,2
2023/4/21,中華風おひたし,小松菜,20,3,0.3,0,3
2023/4/21,中華風おひたし,からし粉,0.1,0,0,0,0
2023/4/21,中華風おひたし,ごま油,0.2,2,0,0.2,0
2023/4/21,中華風おひたし,しょうゆ,2.8,2,0.2,0,160
2023/4/21,中華風おひたし,酢,0.5,0,0,0,0
2023/4/21,ひじきの佃煮,ひじきつくだ煮,5,10,0.3,0.1,109
2023/4/24,こぎつねずし,米,65,222,4,0.6,1
2023/4/24,こぎつねずし,麦,5,17,0.4,0.1,0
2023/4/24,こぎつねずし,酒,0.8,1,0,0,0
2023/4/24,こぎつねずし,水,,0,0,0,0
2023/4/24,こぎつねずし,さとう,1.8,7,0,0,0
2023/4/24,こぎつねずし,塩,0.7,0,0,0,273
2023/4/24,こぎつねずし,酢,6,4,0,0,1
2023/4/24,こぎつねずし,人参,7,2,0.1,0,2
2023/4/24,こぎつねずし,冷凍油揚げ,15,62,3.5,5.2,1
2023/4/24,こぎつねずし,さとう,3,12,0,0,0
2023/4/24,こぎつねずし,しょうゆ,3.5,3,0.3,0,200
2023/4/24,こぎつねずし,かつお節,1,0,0,0,0
2023/4/24,こぎつねずし,水,20,0,0,0,0
2023/4/24,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/24,とりたま煮,鶏肉,60,97,11.4,6.1,31
2023/4/24,とりたま煮,うずら卵水煮,40,65,4.4,5.6,84
2023/4/24,とりたま煮,こんにゃく,20,1,0,0,2
2023/4/24,とりたま煮,しょうが,0.6,0,0,0,0
2023/4/24,とりたま煮,さとう,3,12,0,0,0
2023/4/24,とりたま煮,しょうゆ,4,3,0.3,0,228
2023/4/24,浅漬け,キャベツ,45,8,0.5,0.1,2
2023/4/24,浅漬け,きゅうり,10,1,0.1,0,0
2023/4/24,浅漬け,塩,0.4,0,0,0,156
2023/4/24,浅漬け,白ごま,1,6,0.2,0.5,0
2023/4/25,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/4/25,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/25,あじのたつた揚げ,あじ,35,39,6.9,1.6,46
2023/4/25,あじのたつた揚げ,しょうゆ,1.7,1,0.1,0,97
2023/4/25,あじのたつた揚げ,しょうが,0.5,0,0,0,0
2023/4/25,あじのたつた揚げ,酒,0.8,1,0,0,0
2023/4/25,あじのたつた揚げ,片栗粉,9,30,0,0,0
2023/4/25,あじのたつた揚げ,油,35,21,0,2.4,0
2023/4/25,豚汁,豚肉,20,36,4,2.3,10
2023/4/25,豚汁,人参,20,5,0.1,0,6
2023/4/25,豚汁,じゃがいも,30,16,0.5,0,0
2023/4/25,豚汁,大根,30,4,0.1,0,4
2023/4/25,豚汁,小松菜,20,3,0.3,0,3
2023/4/25,豚汁,冷凍豆腐,30,18,1.5,0.8,1
2023/4/25,豚汁,かつお節,1.5,0,0,0,0
2023/4/25,豚汁,白みそ,10,18,1.3,0.6,490
2023/4/25,豚汁,水,100〜120,0,0,0,0
2023/4/26,黒パン,黒パン,50,236,7.1,3.8,358
2023/4/26,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/26,マカロニグラタン,鶏肉,30,49,5.7,3,16
2023/4/26,マカロニグラタン,マカロニ,20,69,2.6,0.4,0
2023/4/26,マカロニグラタン,塩,0.4,0,0,0,0
2023/4/26,マカロニグラタン,人参,10,3,0.1,0,3
2023/4/26,マカロニグラタン,玉ねぎ,40,12,0.4,0,1
2023/4/26,マカロニグラタン,マッシュルーム,3,1,0.1,0,11
2023/4/26,マカロニグラタン,油,0.7,6,0,0.7,0
2023/4/26,マカロニグラタン,乾燥パセリ,0.05,0,0,0,0
2023/4/26,マカロニグラタン,油,2,18,0,2,0
2023/4/26,マカロニグラタン,バター,2,14,0,1.6,15
2023/4/26,マカロニグラタン,小麦粉,4,14,0.3,0.1,0
2023/4/26,マカロニグラタン,調理用牛乳,30,18,1,1.1,12
